coinpair,length_in_days,balance,config_length,config_multiplier,no_of_orders,number_of_profit_order,average_profit,number_of_loss_order,average_loss,avarage_pnl_per_month
matic,1041.6666666666665,389.76400873240857,3,9.5,315,111,12.187287462232085,204,-4.720710292036043,11.225203451493368
matic,1041.6666666666665,327.0562425677397,3,10.0,300,103,12.677760574436734,197,-4.968289830453016,9.419219785950904
matic,1041.6666666666665,395.6591869897853,3,10.5,276,100,12.99608289807309,176,-5.1360744478268385,11.394984585305819
matic,1041.6666666666665,400.1003004580367,3,11.0,259,96,13.191070076461552,163,-5.314370717069155,11.52288865319146
matic,1041.6666666666665,349.7203112555649,3,11.5,250,90,13.639246278871633,160,-5.486324086518011,10.07194496416027
matic,1041.6666666666665,363.5337331415203,3,12.0,237,83,14.890151339701884,154,-5.664602779569715,10.469771514475786
matic,1041.6666666666665,339.86851451107447,3,12.5,227,80,15.080157731013378,147,-5.894857850136027,9.788213217918948
matic,1041.6666666666665,409.6119408980417,3,13.0,208,75,16.26308638205782,133,-6.091124344032293,11.796823897863604
matic,1041.6666666666665,405.55935448731753,3,13.5,197,70,16.599297846261056,127,-5.955838541346116,11.680109409234745
matic,1041.6666666666665,471.95237753682295,3,14.0,183,69,16.669718528400672,114,-5.949633341428274,13.592228473060503
matic,1041.6666666666665,508.1963764038481,3,14.5,173,65,17.476643296495965,108,-5.812828128411014,14.636055640430827
matic,1041.6666666666665,537.7723050793834,3,15.0,164,63,17.65790349994293,101,-5.689857578386347,15.487842386286243
matic,1041.6666666666665,573.6343552559784,3,15.5,155,62,18.265833733555166,93,-6.009111142198297,16.52066943137218
matic,1041.6666666666665,637.3344644948158,3,16.0,145,56,21.033452097304508,89,-6.073470257912767,18.3552325774507
matic,1041.6666666666665,672.1126819085644,3,16.5,136,57,20.186235632875203,79,-6.056996824877495,19.356845238966656
matic,1041.6666666666665,657.7394456033745,3,17.0,132,56,20.17537926875274,76,-6.2116025453523545,18.94289603337719
matic,1041.6666666666665,652.8416083038926,3,17.5,129,55,20.126753480591034,74,-6.136889636873175,18.80183831915211
matic,1041.6666666666665,672.6149363866363,3,18.0,121,51,21.517331271331678,70,-6.068127977875424,19.37131016793513
matic,1041.6666666666665,648.4217768845974,3,18.5,118,48,22.403854073467087,70,-6.099474552026041,18.674547174276405
matic,1041.6666666666665,671.2742251847824,3,19.0,112,44,24.00008003411585,68,-5.65778376935758,19.332697685321733
matic,1041.6666666666665,679.383689718789,3,19.5,109,44,23.959684848101173,65,-5.766806824579426,19.566250263901125
matic,1041.6666666666665,678.5975644204334,3,20.0,106,43,24.064817623194887,63,-5.653803069475345,19.543609855308485
matic,1041.6666666666665,-36.64983988789572,4,4.0,888,280,6.406234589616105,608,-3.010518955559877,-1.055515388771397
matic,1041.6666666666665,25.789159994309596,4,4.5,766,245,7.124210412604726,521,-3.3006571806023963,0.7427278078361165
matic,1041.6666666666665,192.79605260585492,4,5.0,653,214,7.935490555001957,439,-3.429154729304247,5.552526315048622
matic,1041.6666666666665,280.20114182239774,4,5.5,573,198,8.15688340872302,375,-3.5596313949460274,8.069792884485057
matic,1041.6666666666665,391.32199415288875,4,6.0,495,166,9.647398806878519,329,-3.678255950726278,11.270073431603198
matic,1041.6666666666665,329.52706581341243,4,6.5,457,151,10.117636521895614,306,-3.915804081675899,9.490379495426279
matic,1041.6666666666665,301.52463836227884,4,7.0,421,141,10.450963061009894,280,-4.1859326901432725,8.683909584833632
matic,1041.6666666666665,345.88956771576534,4,7.5,388,131,11.107754479918436,257,-4.316055521998248,9.961619550214044
matic,1041.6666666666665,322.1603102637199,4,8.0,356,119,11.671500891547094,237,-4.5010476617315796,9.278216935595134
matic,1041.6666666666665,477.2077300893673,4,8.5,322,113,12.567669352870523,209,-4.511669410454552,13.743582626573781
matic,1041.6666666666665,384.3539141616919,4,9.0,303,104,12.880826180636696,199,-4.800261349871981,11.069392727856728
matic,1041.6666666666665,401.165410275275,4,9.5,280,101,12.968129908488141,179,-5.0760654216873,11.553563815927921
matic,1041.6666666666665,414.10238678008477,4,10.0,261,95,13.517178824219226,166,-5.24114217783579,11.926148739266443
matic,1041.6666666666665,432.4111455797331,4,10.5,245,90,14.156840618270978,155,-5.430351677836482,12.453440992696315
matic,1041.6666666666665,435.56647957770184,4,11.0,230,84,14.738454523747851,146,-5.4963267151857345,12.544314611837814
matic,1041.6666666666665,358.31842726003794,4,11.5,223,83,14.270144469524116,140,-5.900739740789022,10.319570705089095
matic,1041.6666666666665,333.8792301811088,4,12.0,211,76,14.853957983869293,135,-5.889048715503385,9.615721829215936
matic,1041.6666666666665,401.33691210567224,4,12.5,198,70,16.828107855255737,128,-6.067426857517419,11.558503068643361
matic,1041.6666666666665,418.01324348072967,4,13.0,186,63,18.065129588350576,123,-5.8543895982549286,12.038781412245017
matic,1041.6666666666665,522.204957680872,4,13.5,173,63,18.7581588055631,110,-5.995991336996392,15.039502781209116
matic,1041.6666666666665,565.5263285107619,4,14.0,161,61,19.286296587186424,100,-6.1093776330761,16.287158261109944
matic,1041.6666666666665,512.7204957285223,4,14.5,151,57,19.54771854947661,94,-6.398930442464301,14.766350276981445
matic,1041.6666666666665,642.3274504473982,4,15.0,136,54,21.198587458681207,82,-6.126783808797402,18.499030572885072
matic,1041.6666666666665,629.6580836832567,4,15.5,130,52,21.150569314911372,78,-6.027840008873524,18.134152810077797
matic,1041.6666666666665,627.6555750508561,4,16.0,126,51,21.42757798214935,75,-6.202012027183482,18.07648056146466
matic,1041.6666666666665,637.3348313197328,4,16.5,123,49,22.000938535882113,74,-5.955556174844477,18.35524314200831
matic,1041.6666666666665,685.476753789429,4,17.0,115,48,22.72420603152563,67,-6.049031876474648,19.74173050913556
matic,1041.6666666666665,716.0888281442246,4,17.5,108,45,24.517418118082716,63,-6.145952177293612,20.62335825055367
matic,1041.6666666666665,686.009292031156,4,18.0,103,43,24.942458988710435,60,-6.441940741389883,19.757067610497295
matic,1041.6666666666665,760.4544195950291,4,18.5,96,43,24.876429401831516,53,-5.834566880825028,21.901087284336842
matic,1041.6666666666665,770.3620576957409,4,19.0,93,43,24.344962823357687,50,-5.529426874172795,22.18642726163734
matic,1041.6666666666665,791.2979376592872,4,19.5,89,42,25.691737583351628,47,-6.122447677478331,22.789380604587475
matic,1041.6666666666665,767.7747989778675,4,20.0,86,40,26.31024983861255,46,-6.187721621013805,22.111914210562585
matic,1041.6666666666665,-20.309115997975443,5,4.0,844,273,6.557252865348486,571,-3.1706464942874115,-0.5849025407416928
matic,1041.6666666666665,106.02673371214946,5,4.5,709,237,7.288708608744708,472,-3.435163573221072,3.053569930909905
matic,1041.6666666666665,213.42117284058884,5,5.0,618,207,8.175665743349166,411,-3.598398141198756,6.14652977780896
matic,1041.6666666666665,349.60859123079695,5,5.5,533,182,8.851832683463092,351,-3.593803296750671,10.068727427446953
matic,1041.6666666666665,394.0668883160299,5,6.0,474,157,10.179448336945217,317,-3.79844321950905,11.349126383501662
matic,1041.6666666666665,311.23757549668255,5,6.5,437,142,10.578562716360757,295,-4.0370112889035425,8.963642174304457
matic,1041.6666666666665,336.78174965823746,5,7.0,397,133,11.001559720147629,264,-4.2667639890962015,9.699314390157241
matic,1041.6666666666665,328.44018541493506,5,7.5,363,124,11.411208513284022,239,-4.546232929842192,9.459077339950131
matic,1041.6666666666665,404.4914303653707,5,8.0,331,111,12.61112096836244,220,-4.524286350558453,11.649353194522678
matic,1041.6666666666665,425.82216023777033,5,8.5,306,103,13.4124737877139,203,-4.70769773348158,12.263678214847788
matic,1041.6666666666665,455.94505638444576,5,9.0,279,103,12.882440770136713,176,-4.948558766702475,13.131217623872042
matic,1041.6666666666665,444.9121629853568,5,9.5,258,95,13.703302454088167,163,-5.257064847564531,12.813470293978279
matic,1041.6666666666665,386.40907874694045,5,10.0,243,88,14.19044187605172,155,-5.563547137713617,11.128581467911886
matic,1041.6666666666665,434.1641801670103,5,10.5,223,83,14.677965442998419,140,-5.600763940013272,12.503928388809896
matic,1041.6666666666665,389.4994635811665,5,11.0,214,79,14.937225547612254,135,-5.855861886520009,11.217584551137596
matic,1041.6666666666665,448.54092016353076,5,11.5,200,73,16.759860968136355,127,-6.1018026024442795,12.917978500709689
matic,1041.6666666666665,419.56323011666296,5,12.0,191,69,17.33382396470658,122,-6.364513306951566,12.083421027359895
matic,1041.6666666666665,440.12955739275924,5,12.5,177,62,19.41215173320208,115,-6.638468261441476,12.675731252911469
matic,1041.6666666666665,451.2411481328508,5,13.0,166,59,19.17784987349551,107,-6.357495274797985,12.995745066226105
matic,1041.6666666666665,521.114245038114,5,13.5,153,56,20.043847360253952,97,-6.199393888001105,15.008090257097685
matic,1041.6666666666665,644.6178603086448,5,14.0,139,55,20.8500231890875,84,-5.977778751085329,18.564994376888972
matic,1041.6666666666665,629.2375890290793,5,14.5,134,54,20.952202223373238,80,-6.277266637913441,18.122042564037486
matic,1041.6666666666665,662.5259974293084,5,15.0,125,51,21.79459902790939,74,-6.067548013433384,19.080748725964085
matic,1041.6666666666665,623.2904369105967,5,15.5,122,50,21.432687665126732,72,-6.226999254801947,17.950764583025187
matic,1041.6666666666665,651.5569380234344,5,16.0,113,47,22.646731534108525,66,-6.255143092116158,18.764839815074914
matic,1041.6666666666665,675.5502122270773,5,16.5,110,48,22.29714402528235,62,-6.366333886878637,19.455846112139827
matic,1041.6666666666665,722.4282204701917,5,17.0,104,42,26.22442454120124,62,-6.112864681617104,20.805932749541526
matic,1041.6666666666665,713.5938469512625,5,17.5,100,43,25.24161868947361,57,-6.5227325736158335,20.551502792196366
matic,1041.6666666666665,728.4586214024705,5,18.0,96,40,27.384942896684983,56,-6.552483829730876,20.979608296391152
matic,1041.6666666666665,729.0428935583625,5,18.5,92,39,27.190368741142102,53,-6.252480893324152,20.996435334480843
matic,1041.6666666666665,723.2384005468969,5,19.0,88,38,27.125416625043545,50,-6.150548624095162,20.82926593575063
matic,1041.6666666666665,709.3483489902436,5,19.5,85,37,27.194173319345566,48,-6.184084663032135,20.429232450919017
matic,1041.6666666666665,666.178184686751,5,20.0,84,36,27.166329064876617,48,-6.49603461768348,19.18593171897843
matic,1041.6666666666665,-77.67623776961642,6,4.0,827,260,6.794661268178404,567,-3.2527128174532653,-2.237075647764953
matic,1041.6666666666665,128.49110419914163,6,4.5,686,228,7.5079924040160595,458,-3.45705494304917,3.7005438009352796
matic,1041.6666666666665,271.08698438497237,6,5.0,588,205,8.312510371349342,383,-3.7414559836596433,7.807305150287204
matic,1041.6666666666665,371.2066084285654,6,5.5,511,172,9.285654095440679,339,-3.6163005781334245,10.690750322742685
matic,1041.6666666666665,356.4667639094246,6,6.0,452,148,10.485881744490893,304,-3.9323807048527217,10.266242800591431
matic,1041.6666666666665,354.13086416547526,6,6.5,411,131,11.606641385573004,280,-4.165496990516387,10.19896888796569
matic,1041.6666666666665,390.86760368760724,6,7.0,368,126,11.531744348465992,242,-4.388975967847553,11.25698698620309
matic,1041.6666666666665,412.99805140318733,6,7.5,330,118,11.752336289698688,212,-4.593290711232348,11.894343880411796
matic,1041.6666666666665,449.3990721542077,6,8.0,303,104,13.318867345854736,199,-4.702327295551179,12.942693278041183
matic,1041.6666666666665,513.3529970700991,6,8.5,276,101,13.466559720144215,175,-4.838683055225521,14.784566315618859
matic,1041.6666666666665,475.88500520272174,6,9.0,258,97,13.519049892641448,161,-5.189210151450302,13.705488149838388
matic,1041.6666666666665,434.0857877248984,6,9.5,242,85,14.92009432650644,157,-5.3128804460391645,12.501670686477077
matic,1041.6666666666665,393.2758645391907,6,10.0,228,82,14.869117299612373,146,-5.65747776732208,11.326344898728694
matic,1041.6666666666665,455.1271608701017,6,10.5,211,74,17.05126202469738,137,-5.888074663923389,13.10766223305893
matic,1041.6666666666665,452.80474171794356,6,11.0,198,71,17.08776591768026,127,-5.987611326278383,13.040776561476775
matic,1041.6666666666665,481.86949625372176,6,11.5,187,66,18.73828879026961,121,-6.238492263670019,13.877841492107189
matic,1041.6666666666665,541.5420945169059,6,12.0,170,63,19.513991240726615,107,-6.428405174288509,15.596412322086891
matic,1041.6666666666665,475.92389872825566,6,12.5,161,59,19.08951616840791,102,-6.376054462821677,13.706608283373765
matic,1041.6666666666665,529.2222256890084,6,13.0,147,56,19.74487118541493,91,-6.335061106529975,15.241600099843444
matic,1041.6666666666665,560.0341738559663,6,13.5,138,56,19.23950151358475,82,-6.30948671835097,16.128984207051833
matic,1041.6666666666665,582.0140604420393,6,14.0,131,56,18.769654844009942,75,-6.2544881443002325,16.762004940730733
matic,1041.6666666666665,632.5812654257647,6,14.5,125,52,20.84530544227693,73,-6.183213939351175,18.218340444262026
matic,1041.6666666666665,621.6364483134039,6,15.0,119,49,21.659299868057182,70,-6.280989217448541,17.903129711426033
matic,1041.6666666666665,680.3905784871462,6,15.5,112,45,24.292313156960553,67,-6.16064945635939,19.595248660429814
matic,1041.6666666666665,670.7235296884862,6,16.0,110,46,23.44620872017707,64,-6.371907366244669,19.316837655028404
matic,1041.6666666666665,690.7084968797357,6,16.5,105,42,25.737698293547986,63,-6.1948385944330076,19.89240471013639
matic,1041.6666666666665,736.2691467172865,6,17.0,97,41,26.494755250072696,56,-6.250282473851679,21.204551425457854
matic,1041.6666666666665,701.715149623208,6,17.5,93,39,26.873618334854566,54,-6.413999359928145,20.209396309148396
matic,1041.6666666666665,712.0226269122719,6,18.0,88,39,26.124020796486718,49,-6.2615139622593885,20.506251655073434
matic,1041.6666666666665,666.8273846915062,6,18.5,87,38,26.20876204480728,49,-6.716440265534092,19.20462867911538
matic,1041.6666666666665,667.7470532646354,6,19.0,83,35,27.9265372236382,48,-6.451703115889617,19.2311151340215
matic,1041.6666666666665,623.7124465568984,6,19.5,83,35,27.160591939810526,48,-6.810588986176462,17.962918460838676
matic,1041.6666666666665,615.0981767711954,6,20.0,81,34,27.582172568432263,47,-6.865865756500036,17.714827491010432
matic,1041.6666666666665,-37.03168254681511,7,4.0,809,257,6.809489372271038,552,-3.2374464696023044,-1.0665124573482754
matic,1041.6666666666665,152.40796715510325,7,4.5,663,226,7.439971940484578,437,-3.498914625616501,4.3893494540669735
matic,1041.6666666666665,319.52605540990174,7,5.0,561,197,8.477537897250167,364,-3.710299204253795,9.202350395805171
matic,1041.6666666666665,339.0914527406574,7,5.5,508,171,9.243917050500883,337,-3.684327486335292,9.765833838930934
matic,1041.6666666666665,361.4475648691405,7,6.0,442,141,10.89574742220979,301,-3.903165520473222,10.409689868231247
matic,1041.6666666666665,379.2113745224515,7,6.5,393,128,11.629523818563829,265,-4.18629311039139,10.921287586246605
matic,1041.6666666666665,391.0758894198121,7,7.0,351,119,12.34579822230309,232,-4.646871116526963,11.26298561529059
matic,1041.6666666666665,454.72346577301124,7,7.5,318,110,12.949944086582667,208,-4.6623576141878935,13.096035814262725
matic,1041.6666666666665,547.0437225268233,7,8.0,285,101,13.904583409122381,184,-4.659343488013788,15.754859208772514
matic,1041.6666666666665,494.9434903924048,7,8.5,265,96,13.799877801916297,169,-4.910324133677867,14.25437252330126
matic,1041.6666666666665,477.5184817431405,7,9.0,247,91,14.199440940019478,156,-5.221991306401484,13.752532274202448
matic,1041.6666666666665,428.09803153726193,7,9.5,231,82,15.320996327979525,149,-5.55854810306751,12.329223308273146
matic,1041.6666666666665,451.9780453179414,7,10.0,211,77,15.788521094078755,134,-5.69953790243375,13.016967705156715
matic,1041.6666666666665,512.6285059948189,7,10.5,201,74,17.15040793597942,127,-5.956706151713841,14.763700972650785
matic,1041.6666666666665,458.83982455178756,7,11.0,190,69,17.510731324065908,121,-6.19339369263438,13.214586947091483
matic,1041.6666666666665,500.2399891177876,7,11.5,177,66,18.175016992997058,111,-6.3001002920722335,14.406911686592284
matic,1041.6666666666665,486.73539824067564,7,12.0,160,63,18.150846743988186,97,-6.770803573511136,14.01797946933146
matic,1041.6666666666665,575.8124545410058,7,12.5,145,60,19.089387606873522,85,-6.700597669075359,16.583398690780967
matic,1041.6666666666665,594.2881100068646,7,13.0,137,57,19.371056370436683,80,-6.37327628885033,17.115497568197704
matic,1041.6666666666665,633.0080249943162,7,13.5,131,55,20.57045725767103,76,-6.557462160231458,18.23063111983631
matic,1041.6666666666665,684.5143637055972,7,14.0,122,55,20.062219273453284,67,-6.2523536766318335,19.7140136747212
matic,1041.6666666666665,656.3304180937895,7,14.5,118,52,20.679538153741532,66,-6.348569180314708,18.902316041101138
matic,1041.6666666666665,654.6296386415412,7,15.0,111,47,22.437045916779255,64,-6.248617491360696,18.85333359287639
matic,1041.6666666666665,717.9586941271739,7,15.5,102,47,23.078888180162693,55,-6.668164551644957,20.67721039086261
matic,1041.6666666666665,688.4333347836684,7,16.0,100,45,23.302383568318444,55,-6.548616832557488,19.826880041769655
matic,1041.6666666666665,734.2529000503143,7,16.5,95,41,25.983920289009227,54,-6.131256144427114,21.146483521449056
matic,1041.6666666666665,681.380599318983,7,17.0,93,39,26.414011953783582,54,-6.458627164418086,19.62376126038671
matic,1041.6666666666665,694.5025961507539,7,17.5,88,37,27.430664152362635,51,-6.28297995071889,20.001674769141715
matic,1041.6666666666665,657.5856927525208,7,18.0,85,37,26.20512354512424,48,-6.500080800355756,18.9384679512726
matic,1041.6666666666665,640.6202422610409,7,18.5,84,36,26.424988280032323,48,-6.472486162919227,18.44986297711798
matic,1041.6666666666665,619.2529164247927,7,19.0,83,35,27.110679426755176,48,-6.867101323159132,17.83448399303403
matic,1041.6666666666665,613.2676037517514,7,19.5,80,33,28.189173545751476,47,-6.744151558681863,17.662106988050443
matic,1041.6666666666665,714.8667737908389,7,20.0,76,31,33.286371271562146,45,-7.044683013946383,20.588163085176163
matic,1041.6666666666665,37.709647772377686,8,4.0,790,254,6.922529420878914,536,-3.2100985543486313,1.0860378558444777
matic,1041.6666666666665,205.41748799852,8,4.5,655,219,7.916903870864906,436,-3.505468944313978,5.916023654357376
matic,1041.6666666666665,309.7181939091943,8,5.0,559,191,8.905769138291676,368,-3.7806622595231416,8.919883984584796
matic,1041.6666666666665,335.2778518879084,8,5.5,495,164,9.513866367206411,331,-3.700894961733966,9.656002134371763
matic,1041.6666666666665,340.9321873332477,8,6.0,433,141,10.653706374582349,292,-3.976850724256381,9.818846995197536
matic,1041.6666666666665,371.9428608719688,8,6.5,381,124,11.800390495058368,257,-4.246325138191707,10.711954393112702
matic,1041.6666666666665,469.83422139853957,8,7.0,337,115,12.824206203760323,222,-4.526799513666204,13.531225576277942
matic,1041.6666666666665,519.8696460884818,8,7.5,301,108,13.152941024628799,193,-4.666569868245743,14.972245807348278
matic,1041.6666666666665,531.0459970932743,8,8.0,276,99,13.877282655119323,177,-4.761610089059543,15.294124716286303
matic,1041.6666666666665,510.09472572727486,8,8.5,254,97,13.665188695845318,157,-5.193812597259369,14.690728100945517
matic,1041.6666666666665,506.00782350699524,8,9.0,235,85,15.156986142629469,150,-5.215573324110062,14.573025317001466
matic,1041.6666666666665,503.20512855414484,8,9.5,218,77,16.64528323966811,141,-5.521146673051769,14.492307702359373
matic,1041.6666666666665,556.7581537090533,8,10.0,203,77,16.88900541681914,126,-5.902343360206513,16.03463482682074
matic,1041.6666666666665,547.4736491991603,8,10.5,191,70,18.06489175585982,121,-5.926188212487822,15.767241096935818
matic,1041.6666666666665,408.7098096338836,8,11.0,184,67,17.024974019486965,117,-6.25609786044225,11.770842517455849
matic,1041.6666666666665,471.8928293766201,8,11.5,168,63,17.97719358090785,105,-6.292098725910233,13.590513486046662
matic,1041.6666666666665,515.2190276497105,8,12.0,154,58,19.356562428714327,96,-6.327724929330422,14.838307996311665
matic,1041.6666666666665,504.98973635290054,8,12.5,144,57,19.099455776070258,87,-6.708956814748324,14.543704406963537
matic,1041.6666666666665,656.188439896151,8,13.0,129,57,19.31756793738021,72,-6.179346285201684,18.89822706900915
matic,1041.6666666666665,714.6972739233239,8,13.5,121,52,21.637715423475107,69,-5.948752581121472,20.58328148899173
matic,1041.6666666666665,664.979303536734,8,14.0,120,52,21.010485022041152,68,-6.287734082491263,19.151403941857943
matic,1041.6666666666665,657.4295232666818,8,14.5,112,51,20.527809032847617,61,-6.38506126899257,18.93397027008044
matic,1041.6666666666665,712.1211724362516,8,15.0,106,47,23.138873358405874,59,-6.362811447607198,20.509089766164053
matic,1041.6666666666665,701.1817351594971,8,15.5,101,43,24.75156983692766,58,-6.260961514282627,20.19403397259352
matic,1041.6666666666665,713.012105227986,8,16.0,96,41,25.26729957832739,55,-5.871766863335212,20.534748630566
matic,1041.6666666666665,681.1734920300057,8,16.5,93,39,26.150030465540915,54,-6.271809187520181,19.61779657046417
matic,1041.6666666666665,665.9389719629536,8,17.0,90,37,27.61373213274556,53,-6.712624848087399,19.179042392533066
matic,1041.6666666666665,695.4477164935937,8,17.5,84,38,26.514440076969443,46,-6.784804487635762,20.028894235015503
matic,1041.6666666666665,782.3058355012748,8,18.0,81,34,32.141749164150895,47,-6.606673108082031,22.530408062436717
matic,1041.6666666666665,747.8017462463455,8,18.5,78,34,31.07795423097754,44,-7.019288581974794,21.536690291894754
matic,1041.6666666666665,726.4356892187499,8,19.0,76,31,33.77595112648229,45,-7.124862126715576,20.9213478495
matic,1041.6666666666665,714.5093272357632,8,19.5,74,29,35.72659639062317,45,-7.145821513162424,20.577868624389982
matic,1041.6666666666665,682.6407343933105,8,20.0,72,27,37.52933097893072,45,-7.347804489729308,19.660053150527347
matic,1041.6666666666665,73.1108017937714,9,4.0,781,256,6.873928102960006,525,-3.212599604883791,2.1055910916606164
matic,1041.6666666666665,132.98651723807902,9,4.5,651,218,7.726920308604462,433,-3.583099561287977,3.830011696456676
matic,1041.6666666666665,304.11490620768694,9,5.0,548,186,8.899003563420834,362,-3.7323197695817365,8.758509298781384
matic,1041.6666666666665,345.24882817458774,9,5.5,484,160,9.698414180073353,324,-3.723757532830705,9.943166251428128
matic,1041.6666666666665,336.72906520478585,9,6.0,424,140,10.522415231522787,284,-4.001440377494382,9.697797077897835
matic,1041.6666666666665,403.9705393835521,9,6.5,366,124,11.918844083056984,242,-4.437876557502125,11.634351534246301
matic,1041.6666666666665,476.27780108087944,9,7.0,329,114,12.933139286727004,215,-4.642325942353482,13.71680067112933
matic,1041.6666666666665,574.8948961935786,9,7.5,292,104,14.065208517516623,188,-4.722802072490162,16.556973010375067
matic,1041.6666666666665,497.052976562506,9,8.0,269,98,13.560816498663684,171,-4.864953452085003,14.315125725000174
matic,1041.6666666666665,496.7982795912046,9,8.5,248,94,13.825088687231663,154,-5.212727642912801,14.307790452226694
matic,1041.6666666666665,519.5509943074045,9,9.0,227,81,16.00221858081027,146,-5.319374731083747,14.96306863605325
